CustID,FirstName,LastName,Email,PhoneNumber
201,Aarav,Patel,aarav.patel@example.com,9876543210
202,aditya,Iyer,Aditya.iyer@example.com,9123456780
203,Vihaan,Reddy,vihaan.reddy@example.com,9988776655
204,Diya,Sharma,diya.sharma@example.com,9090909090
205,Arjun,Menon,arjun.menon@example.com,9812345678
206,Ishita,Kapoor,ishita.kapoor@example.com,9823456789
207,Rohan,Chopra,rohan.chopra@example.com,9834567890
208,Kavya,Nair,kavya.nair@example.com,9845678901
209,Aditya,Gupta,aditya.gupta@example.com,9856789012
2101,Meera,Desai,meera.desai@example.com,9867890123
